,Month 1,Month 2,Month 3,Month 4,Month 5
1RDNKOL27,5,7,6,3,3
1FNAJM60,6,1,6,8,1
1FNRSM02,6,0,5,4,3
1FNTNK07,8,0,3,2,5
1RDNAHM06,2,1,7,0,0
1CRGJAH43,7,4,9,12,9
1RDNKOL32,7,2,2,4,12
1FNJDP32,4,0,1,6,3
1FDBOM122,9,16,7,5,7
1CRRJKO501,24,30,25,29,18
1FDAJM56,6,2,0,0,0
1FNKAN103,8,8,2,18,9
1FDBOM320,12,8,7,4,19
1FNAHM164,15,13,0,0,0
1FNKOL161,2,0,1,1,0
1CRRJUD04,13,19,7,4,18
1CRRJKO01,13,17,4,11,14
1RDWHMP02,8,3,1,5,2
1FNANA41,4,1,0,4,0
1FDJPG001,6,2,7,2,0
1FDBDN07,5,12,2,3,8
1FDUDP25,15,4,4,9,7
1FDSDR03,6,8,1,2,11
1FNABN25,5,2,8,14,9
1FNLUC57,9,11,1,4,4
1CRUPVA07,12,9,4,6,13
1CRMHMU504,20,18,32,27,30
1DBA04021,3,0,3,5,2
1CRUPMZ01,12,4,8,10,12
1CRUPLK07,4,3,13,6,8
3CRRJNG03,25,12,11,14,28
1FNRBL43,1,5,10,2,2
1RDWBOM16,2,7,7,4,10
1FNAHM160,3,3,4,0,0
1FNPLI12,7,9,0,0,9
1FNVAR88,6,1,4,2,4
1FNKAN100,12,7,3,6,5
1FNTNK26,10,0,0,0,0
1FDBOM281,16,8,10,7,1
1FDBOM176,22,14,10,6,25
1DBA04221,5,6,4,3,8
1FNFZB43,8,6,3,15,5
1RDWMEH13,3,7,3,2,6
1RDNKAN18,19,1,1,6,7
1FDKOT27,19,7,4,7,3
1RDNCAM01,4,5,15,2,7
1FDBOM153,3,11,5,6,15
1FNFZB17,1,2,1,1,5
1FNALW06,8,4,6,2,4
1FNVAR37,2,4,3,0,2
1FNUDP30,7,0,3,0,3
1RDDMUM16,7,9,3,1,11
3CRUPAB03,10,4,11,12,14
1FNMIR13,4,3,1,4,0
1FNKAN120,2,7,3,3,0
1FNBND24,13,3,2,3,2
1FNANA17,10,11,12,6,14
1FNKOT07,20,2,1,3,1
1CRGJAH14,15,7,9,22,3
1CRRJUD02,2,1,6,6,7
1FNKOL227,4,1,0,3,0
1FNJAI108,8,3,5,4,7
1CRGJRJ501,19,14,15,17,55
1FNSBK17,13,9,0,3,4
1RDWVAR22,9,9,6,3,7
1FNGKP14,7,5,2,1,4
1RDDMUM47,5,0,0,0,0
1RDDMUM38,12,11,18,15,18
1CRRJJP37,4,2,9,5,6
1CRGJAH29,17,19,12,9,3
1CRGJRJ503,8,13,15,32,12
1CRMHMU10,17,10,11,6,3
1FDBOM148,15,0,0,0,0
1CRGJRJ02,22,23,25,16,17
1RDDKAN04,15,8,9,14,7
1CRMHTH27,23,22,29,18,10
1FNBOM87,5,4,2,4,3
1FDBOM380,3,10,7,4,0
1FDJAI77,7,3,5,2,5
1FNBND09,5,1,3,1,4
1FDBOM242,4,7,5,12,6
1FDBHL34,18,5,5,10,21
1CRHUPLU08,9,4,2,3,7
1FNAMR12,5,2,2,3,3
1FWKOL227,9,2,2,1,2
1FNDUN16,11,12,20,5,10
1RDDMUM72,13,18,16,4,0
1FNDUN18,7,5,1,1,0
1FNVAR05,2,7,1,3,6
1FNVAR89,12,18,18,15,9
1FNDAU06,11,1,8,1,1
1FNDHO02,1,8,0,3,4
1FNAJM59,18,4,0,8,3
1FNKOT47,7,7,3,6,3
1CRGJAH26,21,16,27,25,16
1FNJAI112,13,12,10,2,5
1RDWTNK03,5,4,4,0,3
1FDGND04,26,7,0,0,0
1RDWMIR05,15,11,17,16,18
1FNJAI61,8,15,3,6,3
1FDAHM91,4,2,6,4,5
1CRUPSU01,18,20,24,25,16
1FNHAO01,10,12,11,12,11
1FNKAN140,8,22,0,7,4
1FNANA55,4,5,2,5,6
1CRGJAH15,11,6,5,4,8
1FNPGS07,4,9,9,12,15
1FNDAR07,2,1,3,3,7
1FDMEH49,8,7,5,4,7
1RDNKOL17,10,6,18,7,1
1FNKOL86,8,0,3,10,5
1FDKAN164,11,2,7,7,20
1CRMHMU82,28,23,31,44,19
1FNALD65,19,9,10,5,20
1FDKOL126,3,3,5,6,2
1CRMHMU45,10,18,30,40,16
1FDKOL184,17,25,10,10,18
1FNHOG14,5,0,4,3,3
1RDDRBL01,12,12,14,10,9
1FNSRO01,13,5,10,2,1
1RDDBIK04,13,0,0,0,0
1RDDKOL13,10,12,8,5,5
1RDNKOL07,2,4,5,4,9
1CRUPLK06,17,17,13,9,2
1RDDRAJ03,6,19,8,9,9
1CRGJAH01,6,12,12,18,22
1CRRJTK03,9,12,8,8,16
1RDWSTP03,8,8,12,12,9
1RDDAHM47,2,4,2,2,3
1RDNRBL04,23,14,10,7,10
1FNJAI102,8,3,3,3,2
1FNMEH02,5,3,1,4,0
1CRUPVA11,10,6,10,9,3
1RDWKOL73,1,8,3,1,6
1FNMEH56,10,5,2,0,2
1FDKOL181,17,17,21,24,19
1FDMEH28,18,7,8,8,10
1FNKOL205,4,0,0,3,1
1RDNLUC27,1,2,1,3,11
1FNJDP25,5,2,2,2,2
1FNALD55,16,13,13,19,19
1FDKOL174,9,11,1,3,10
3CRGJKA01,6,8,7,7,6
1FNLUC95,10,7,0,14,12
1FNJAI43,6,1,0,7,3
1FNJDP26,5,3,0,5,3
1FNKOL124,3,6,4,4,0
1FNKAN145,12,6,2,8,1
1RDWBOM43,3,8,2,3,3
1RDNALW02,11,2,6,2,6
1FNJUN18,6,5,5,1,5
1FNBIK07,6,7,4,3,0
1FNFZB27,10,3,1,5,2
1CRGJBK501,14,18,13,15,10
1FNJLO02,6,0,0,13,5
1FNKOL222,6,2,4,2,2
1FNSDR11,5,3,0,3,4
1FNSUL34,17,13,6,18,22
1FNANA52,2,2,0,1,9
1FNKHD26,10,4,1,6,2
1CRGJRJ05,13,8,17,7,5
1RDDRBL02,6,12,10,11,4
1FDJLO04,22,0,0,0,0
1FDTNK24,9,8,6,6,5
1FNDIM02,4,6,1,4,0
1FNKOL147,9,3,6,9,9
1FDKOL123,4,9,4,3,1
1FNJAI50,3,2,1,0,0
1FNBOM68,5,4,4,2,4
1FNVAR70,7,7,3,3,0
1FNBOM67,2,3,4,2,2
1FDAJM45,11,8,0,0,0
1FNFTP11,11,2,3,0,2
1FDRGD41,7,2,0,5,7
1FNKAN65,9,5,5,4,13
1CRMHTH01,14,11,10,16,24
1RDDMUM43,4,10,7,7,8
1CRRJHG04,3,1,2,9,7
1CRGJKA02,12,10,6,1,10
1CRHRJSR01,8,2,5,6,10
1FNDUN29,4,4,5,6,8
1RDDALD05,10,5,5,10,14
1RDNKOL54,5,2,2,1,2
1FNSOM02,2,1,2,3,1
1FNAJM35,9,10,4,4,4
1FNJAI92,6,5,5,3,2
1RDDRAJ09,5,8,5,2,0
1FNSUL18,4,3,6,2,1
1FNJAI45,5,1,0,0,2
1CRRJBU02,11,8,9,3,10
1CRRJRS02,13,15,17,22,8
1RDNKAN21,8,17,12,0,2
1FNKAN34,6,6,19,17,7
1FNALD79,13,19,10,1,4
1CRMHTH44,8,1,11,15,21
1FNJNP14,14,3,1,2,9
1FNVAR50,13,1,14,8,6
1FNBOM180,8,2,2,2,3
1FNJSL05,13,10,9,8,17
1RDNAJM06,13,5,3,4,3
1RDWMEH17,11,6,1,6,7
1FNFZB32,4,4,5,10,8
1RDNAHM08,6,0,1,4,1
1RDNKOL31,2,7,0,2,4
1FDBOM313,3,9,1,4,1
1FNPRL03,2,4,11,8,3
1RDWBOM50,5,7,1,0,0
1CRRJUD501,11,8,18,11,10
1FNVAR72,9,4,3,4,3
1FNBRM03,6,5,6,2,5
1RDNJAI05,7,1,1,3,1
1FNAHM73,10,1,4,3,13
1FDBOM290,11,3,4,0,0
1FNJDP63,9,6,3,9,8
1FDUDP51,12,9,1,7,5
1FNBOM136,8,3,6,9,12
1FNJDP27,2,1,4,6,4
1FDJHU18,3,3,6,16,8
1FDBOM365,10,0,0,0,0
1FNGKP04,4,6,2,9,2
1FDBOM210,4,3,0,1,2
1FNJHU12,6,1,1,0,0
1FNALD52,23,6,7,5,6
1FDRAJ66,5,4,4,9,6
1FNABN09,10,27,1,7,5
1CRRJAL02,11,7,13,16,21
1FNJDP62,3,0,1,4,9
1RDWMHB01,7,14,13,11,4
1CRRJDA01,11,6,17,5,16
1FNAHM186,4,8,4,12,5
1FDKOL172,11,18,18,10,10
1RDWLUC50,23,27,35,12,13
1CRMHMU511,12,9,10,12,14
1CRMHMU512,5,15,24,27,26
1RDNJDP07,2,3,3,8,8
1FDBOT03,9,10,8,8,4
1FNALD128,4,2,1,0,8
1FDPLI11,9,7,16,15,12
1RDNAJM09,9,5,4,6,6
1FNBNW29,1,4,2,3,1
1RDWUDP15,4,3,3,0,1
1FDKOT10,2,4,2,3,14
1FNGDH08,7,4,1,4,5
1FNABN19,8,3,1,3,0
1FDBST04,11,12,17,17,11
1FDRGH08,12,8,6,0,0
1CRRJGA01,3,1,3,0,4
1CRRJJP21,15,11,6,11,16
1FNRBL07,5,11,5,8,4
1FDNGU07,14,10,8,8,10
1RDNUPD03,14,7,9,5,13
1FDALW17,3,0,0,0,0
1RDWJNP02,10,10,24,7,11
1FWBSK03,4,10,2,4,11
1FNRAJ01,14,3,4,4,7
1CRMHTH02,9,5,4,6,2
1RDDMUM33,12,12,4,7,2
1RDNANA02,5,11,6,4,3
1CRRJJP05,6,2,9,12,13
1FNBRM10,5,6,6,13,7
1RDNKOL30,11,13,4,5,2
1FDJDP41,10,4,6,8,6
1FNANA18,6,8,4,9,1
1FNHAO04,2,6,5,7,6
1FNANA24,7,5,2,0,11
1FNHOG11,2,2,0,1,3
1FNALD88,7,1,6,6,2
1FNKOL242,3,6,4,10,5
1FNKAN132,16,2,1,10,12
1FDBHT20,1,0,0,0,0
1FDJDP48,8,0,0,0,0
1FDBND19,3,5,2,6,1
1FNFZB18,16,17,16,10,17
1FNLUC120,5,5,4,1,4
1FNABN10,5,7,2,2,4
1FDPGS08,4,12,5,4,5
1FNKOL212,5,3,5,3,1
1FNKHD50,3,4,2,0,0
1FNANA39,4,9,8,0,0
1FNMIR18,7,3,9,4,5
1FNAJM41,4,3,3,2,2
1FNJDP35,10,7,8,5,8
1FNBRR04,4,0,0,2,2
1RDNJMG05,4,0,6,2,4
1RDNJDP06,8,8,3,3,7
1RDWLUC41,7,10,8,3,10
1CRRJBM01,7,11,14,8,9
1FNANA60,6,0,0,11,1
1FNBNK09,18,6,3,11,2
1FNSUL04,19,17,12,22,13
1FNMEH42,3,7,10,0,2
1FNBDN09,14,3,10,8,6
1RDWKUS01,18,15,8,8,5
1FNLUC93,17,12,11,15,13
1FNFTP44,11,4,1,4,0
1FNABN24,18,19,0,2,0
1FNMRD14,1,2,9,1,3
1CRGJJM02,8,8,14,11,4
1RDDMUM46,5,8,12,0,0
1FNCND02,6,7,1,2,5
1FNKHD55,3,1,3,2,2
1FNJMG20,3,9,9,4,5
1RDDRBL03,13,11,12,15,18
1FNANA35,10,10,3,6,3
1FNGDH09,3,4,1,1,0
1FNAHM72,2,4,6,10,1
1FDHOG12,2,4,4,3,2
1FDRSM09,9,5,20,9,20
1CRHGJAN04,4,8,2,6,2
1RDWJAI38,8,2,6,10,5
1FNRBL39,12,7,8,4,2
1CRMHMU33,16,7,0,12,11
1FNKAN96,1,1,2,4,5
1FNVAR40,6,10,2,3,5
1CRMHTH13,5,0,0,0,0
1FDBHL41,5,4,1,0,0
1RDWVAR31,14,6,13,14,6
1FNLUC119,7,6,9,3,0
1FNVAR61,5,8,8,4,3
1FNALD49,20,10,12,16,13
1FDBIK37,10,0,0,0,0
1CRRJBK02,4,6,9,14,2
1RDNKOL43,1,1,0,0,3
1FNVAR76,8,17,5,8,4
1FNKAN131,6,6,9,6,9
1RDNVAR20,4,3,3,3,1
1FNDAR02,2,0,0,1,4
1FNNEA01,2,1,2,0,1
1RDDALD02,11,7,17,16,18
1FNLUC62,11,5,8,10,8
1FNKMR12,5,1,1,0,2
1CRGJAH40,11,14,9,14,10
1FNKAN116,4,8,14,8,5
1FDBOM351,5,0,0,0,0
1FDRGH12,5,4,4,10,14
1FNGKP17,12,4,8,2,2
1CRHKOCA05,17,0,12,2,52
1CRGJAH28,12,3,8,7,6
1FNPRL01,16,1,0,0,8
1FNKOL233,11,4,5,6,5
1FDJLN03,13,15,24,13,18
1FNJDP24,7,0,3,8,0
1FNJMG37,6,4,1,9,1
1RDWVAR29,8,11,3,8,2
1RDDMUM54,2,0,0,0,0
1FNJHU07,18,15,5,7,12
