,Month 1,Month 2,Month 3,Month 4,Month 5
1RDNKOL44,17,84,14,63,73
1RDNVAR13,9,40,8,23,17
1RDWBOM36,6,30,8,33,51
1RDWFZB07,33,123,9,104,84
1RDWJAI37,7,70,1,31,31
1RDWKOL72,6,39,7,20,20
1RNDAZM06,17,35,10,50,71
3CRUPAB03,7,48,9,91,85
1CRGJAH32,14,113,6,65,47
1CRHGJAN02,15,84,7,90,88
1CRHGJAN05,24,57,26,93,95
1CRMHMU12,15,78,28,75,74
1CRRJGA06,4,58,19,104,91
1CRRJKO06,9,82,10,61,73
1CRRJTK03,9,71,6,58,86
1CRUPKN04,40,26,0,128,50
1CRUPKN13,7,34,8,30,36
1CRWBHR501,9,40,11,29,51
1FDAMR13,17,63,10,47,51
1FDAZM10,9,44,16,100,79
1FDBNK12,16,21,17,58,35
1FDBOM296,7,66,13,37,62
1FDBOT03,19,62,17,72,91
1FDDAR02,12,21,2,33,33
1FDGDH16,8,25,0,0,0
1FDLUC110,13,126,22,46,37
1FDNGU07,10,48,9,65,61
1FDRSM09,28,115,37,146,116
1FDSMD21,7,48,6,84,80
1FNABN35,16,20,9,52,75
1FNAHM216,16,17,8,31,31
1FNAJM20,17,49,0,0,0
1FNALD57,7,22,13,48,64
1FNALW21,6,0,11,7,42
1FNANA51,5,4,1,13,14
1FNBHT15,13,116,0,0,0
1FNBIK18,17,25,5,29,16
1FNBND03,5,32,13,18,14
1FNBRR06,5,11,1,7,54
1FNBST06,11,39,11,30,45
1FNDAU22,15,45,6,49,31
1FNDIM03,7,32,6,40,19
1FNFTP07,19,16,1,23,44
1FNHOG11,5,25,8,19,35
1FNJDP27,12,9,9,60,25
1FNJDP59,14,11,3,23,30
1FNJMG37,2,31,0,19,15
1FNKAN72,10,30,0,54,177
1FNKHD53,3,13,0,11,1
1FNKOK02,3,3,0,0,0
1FNKOL227,3,20,1,13,9
1FNKSH17,5,34,16,25,37
1FNKSH30,5,14,2,21,15
1FNNOR04,8,10,12,28,25
1FNPSS01,7,25,1,18,45
1FNRBL11,13,95,2,46,40
1FNRAJ57,3,9,1,23,22
1FNSOM02,2,28,2,35,18
1FNUTT01,12,70,9,16,37
1RDDALD05,18,32,2,56,38
1RDDALD07,12,32,9,97,43
1RDDANA01,10,20,14,63,59
1RDDGZP02,10,115,0,0,6
1RDDKAN14,17,28,4,55,69
1RDDLUC14,5,18,18,88,60
1RDDPUN16,7,32,8,49,66
1RDNAHM38,3,0,0,0,0
1RDNANA06,7,25,11,24,19
1RDNKOL30,9,71,10,42,28
1RDNKOL45,21,67,15,78,88
1RDNKOL43,8,43,5,17,29
1RDNMEH03,14,21,7,8,25
1RDNVAR14,11,83,23,63,65
1RDWAHM53,9,82,16,67,57
1RDWKOL70,17,82,23,94,75
1RDWMIR04,7,51,22,89,62
3CRRJJO09,5,108,17,69,57
1CRGJJM03,2,63,24,82,77
1CRHUPAL07,4,38,14,59,64
1CRMHMU07,25,79,9,91,75
1CRMHTH19,7,55,9,84,68
1CRRJJH10,11,42,4,45,70
1CRRJJP11,7,50,13,63,61
1CRRJJP09,25,109,16,113,40
1CRUPFZ01,18,40,8,95,108
1DBA09732,8,23,8,36,42
1FDAHM171,8,41,5,43,0
1FDAJM29,9,62,22,81,44
1FDBOM387,4,42,15,61,35
1FDBST05,19,135,31,105,96
1FDKAN168,16,71,30,62,58
1FDKAN173,21,99,14,26,37
1FDKOL184,13,100,14,126,81
1FDLAH01,18,34,2,29,51
1FDRGH19,29,43,15,31,0
1FDSRO05,13,29,10,47,85
1FNABN07,21,43,0,34,41
1FNAHM130,13,43,3,141,70
1FNAHM161,2,33,2,86,29
1FNAJM68,4,7,3,24,23
1FNALD40,3,25,1,14,15
1FNANA35,13,45,3,27,46
1FNANA59,6,19,5,23,11
1FNBAL06,42,71,12,42,39
1FNBHR07,64,270,0,33,37
1FNBIK08,4,25,8,32,41
1FNBNW10,20,57,25,104,107
1FNBRF01,5,21,10,47,27
1FNCHT06,6,11,5,11,20
1FNCND08,6,50,18,44,46
1FNDAR10,15,32,13,55,47
1FNDHO01,11,38,0,15,47
1FNHOG10,11,19,9,14,22
1FNJMG13,4,47,3,12,25
1FNKAN92,9,0,0,102,43
1FNKAN71,8,16,6,17,38
1FNKHD34,5,29,1,29,11
1FNKHD47,2,7,0,2,4
1FNKOL83,8,22,5,16,9
1FNMEH38,4,9,3,20,27
1FNMIR08,3,34,8,52,29
1FNPTP25,10,43,9,32,33
1FNRAJ49,3,11,5,33,33
1FNRAJ59,9,26,8,35,35
1FNRAJ69,6,25,2,16,27
1FNRBL09,40,12,9,27,0
1FNRBL42,37,103,11,27,32
1FNSDR17,2,8,3,17,20
1FNSVR02,1,20,2,15,11
1FNTNK11,14,49,12,45,34
1FNUDP48,10,10,0,26,18
1FNUNO02,21,40,13,58,133
1FNVAR42,17,86,19,83,75
1RDDJAI26,4,25,1,32,26
1RDNALD15,9,37,7,61,62
1RDNJAI20,2,13,4,12,17
1RDNKOL17,14,35,22,43,31
1RDNRAJ11,5,24,5,26,29
1RDWAHM50,11,68,4,150,89
1CRGJAH28,6,33,4,72,53
1CRGJAH39,14,118,16,113,93
1CRGJAH42,9,60,19,69,111
1CRGJJM01,12,113,20,113,100
1CRGJBT01,1,41,9,96,74
1CRGJRJ05,5,79,19,58,71
1CRGJSN02,8,41,9,63,57
1CRHUPAL01,14,50,4,42,84
1CRHUPAL02,8,35,10,61,77
1CRHUPAL08,16,65,27,185,93
1CRHUPVA12,7,36,17,55,59
1CRRJHG04,4,36,6,85,89
1CRRJSK01,6,46,2,87,37
1CRUPFZ02,8,75,23,120,117
1FDAHM170,11,39,11,85,36
1FDAHM182,13,43,8,37,38
1FDAHM173,12,72,15,72,87
1FDBDN22,4,45,18,33,13
1FDBHL31,10,26,6,39,34
1FDBND20,11,23,7,52,62
1FDBOM121,6,59,1,20,23
1FDBOM205,7,66,11,79,41
1FDBOM356,15,28,13,26,46
1FDBOM364,6,68,11,59,65
1FDHAN09,1,0,0,0,0
1FDHOG08,9,57,11,107,35
1FDJAI135,14,33,11,50,50
1FDJHU18,11,20,6,73,31
1FDJMG33,7,50,12,32,27
1FDKAN156,12,107,6,78,65
1FDKAN162,12,131,38,32,94
1FDKCC19,12,42,11,68,60
1FDKOL180,8,54,3,0,38
1FDKOL191,9,28,4,41,44
1FDKOT11,16,22,2,36,57
1FDRGH30,19,37,28,56,40
1FDSIK19,11,20,3,34,102
1FNAHM138,8,19,7,30,27
1FNALD58,18,30,3,22,23
1FNBDN17,8,20,3,27,12
1FNBDN23,15,55,13,87,68
1FNBHL24,10,11,3,23,32
1FNBRR01,7,21,10,18,22
1FNCND02,2,30,18,35,39
1FNCND04,15,271,6,28,18
1FNDUN07,11,85,13,20,162
1FNJAI103,3,26,6,30,24
1FNJDP66,15,28,4,29,39
1FNJMG19,7,40,9,27,27
1FNKAN64,5,25,0,19,17
1FNKAN90,9,35,9,44,36
1FNKHD44,2,19,2,13,11
1FNMLD02,3,27,14,28,39
1FNPSS05,12,44,5,16,18
1FNRAJ70,6,16,11,29,35
1FNRAJ55,9,33,8,27,36
1FNVAR37,6,95,12,13,20
1FNVAR79,5,82,8,82,79
1FWMLD03,1,55,6,50,51
1FWMLD04,11,25,5,13,7
1RDDAHM39,6,31,6,33,68
1RDDGKP01,14,148,19,96,55
1RDDLUC02,1,78,6,59,105
1RDDMUM85,8,24,19,44,62
1RDDPEN01,8,55,12,33,22
1RDDVAR09,12,99,38,112,81
1RDNAHM40,4,17,3,26,30
1RDNHLD01,8,27,14,27,33
1RDNJMG01,7,69,10,101,39
1RDNMIT01,7,21,8,78,48
1RDWBKU01,6,44,3,39,33
1RDWLUC50,11,72,21,60,46
3CRRJNG03,17,77,22,153,144
1CRGJAH44,16,54,27,93,89
1CRGJSN03,16,57,1,28,97
1CRRJBL04,7,56,3,64,49
1CRRJTK06,11,54,13,61,120
1CRWBPN03,5,25,8,34,50
1FDAHM169,12,27,3,69,56
1FDBDN08,5,68,10,26,19
1FDBKU03,14,59,10,32,69
1FDBKU02,4,38,8,36,48
1FDBOM240,13,68,19,66,44
1FDBOM254,13,56,9,33,0
1FDFZB40,14,75,32,112,97
1FDHOG09,20,45,7,67,192
1FDJAI79,7,14,6,57,66
1FDJDP15,21,85,35,33,78
1FDJMG31,2,0,10,55,14
1FDKOT25,21,49,4,24,21
1FDKUS04,25,80,32,91,62
1FNABN08,19,56,18,45,41
1FNAJM73,7,25,1,14,11
1FNALD119,4,5,23,4,0
1FNALD91,9,31,5,18,23
1FNAMR09,2,12,5,30,34
1FNBND13,4,16,5,25,28
1FNBNW21,7,13,6,6,8
1FNCHT12,9,20,2,40,65
1FNCHT10,8,42,4,14,18
1FNDAU06,3,20,0,14,16
1FNDUN18,4,24,2,13,15
1FNJAI83,4,2,0,45,41
1FNJMG12,11,31,2,15,3
1FNKHD03,12,26,10,20,29
1FNKOL205,4,0,0,5,14
1FNKOL208,4,29,4,29,19
1FNKOL215,3,18,7,8,15
1FNKOT14,6,44,32,24,17
1FNLUC77,9,36,5,21,14
1FNMAU03,29,34,12,32,49
1FNMEH35,5,19,4,25,26
1FNPUM01,4,59,10,30,27
1FNRAJ16,5,28,2,37,29
1FNRAJ48,7,38,21,142,415
